date,keyword,ticker count
20220118,fad,"[('BLK', 1)]"
20220118,labour,"[('STLA.MI', 1), ('BHP', 1)]"
20220118,credit,"[('GSBD', 2), ('MA', 1), ('COIN', 1), ('GSK', 1), ('UL', 1), ('C', 1)]"
20220118,Department,"[('BABA', 1)]"
20220118,dealmaker,"[('BHP', 1), ('GLNCY', 1), ('FCX', 1), ('GSBD', 1)]"
20220118,correction,"[('RY', 1)]"
20220118,producer,"[('XOM', 2), ('BLK', 1), ('BHP', 1), ('GLNCY', 1), ('FCX', 1), ('CVX', 1), ('GS', 1)]"
20220118,LinkedIn,"[('PINS', 1), ('XRSMF', 1), ('SNEJF', 1), ('SONY', 1), ('AAPL', 1), ('FB', 1), ('ZNGA', 1), ('AMZN', 1), ('ATVI', 1), ('GOOG', 1), ('GOOGL', 1), ('NLOK', 1), ('TCEHY', 1), ('TCTZF', 1), ('TTWO', 1), ('MSFT', 1)]"
20220118,element,"[('SONO', 1), ('AMZN', 1), ('FB', 1), ('GOOG', 1), ('GOOGL', 1), ('YELP', 1), ('AAPL', 1), ('ZNGA', 1), ('SPOT', 1), ('MTCH', 1)]"
20220118,GROWTH,"[('BABA', 1), ('BNS', 1), ('C', 1)]"
20220118,server,"[('BABA', 1)]"
20220118,procurement,"[('CDNS', 1), ('TSLA', 1)]"
20220118,ground,"[('COIN', 1), ('RSKD', 1), ('MNDY', 1), ('NUAN', 1), ('MSFT', 1), ('SNEJF', 1), ('SONY', 1), ('NLOK', 1), ('TCEHY', 1), ('TCTZF', 1), ('AAPL', 1), ('FB', 1), ('GOOG', 1), ('GOOGL', 1), ('AMZN', 1), ('ALEX', 1), ('EA', 1), ('ATVI', 1)]"
